
==================================================
========== FP-Tree 算法完整结果 ==========

Level 0 (频繁1项集):
总计: 2117 个频繁1项集
  [0]: 支持计数=177
  [1]: 支持计数=266
  [2]: 支持计数=549
  [5]: 支持计数=295
  [6]: 支持计数=151
  [7]: 支持计数=100
  [9]: 支持计数=1372
  [10]: 支持计数=712
  [11]: 支持计数=711
  [12]: 支持计数=409
  [15]: 支持计数=345
  [16]: 支持计数=124
  [18]: 支持计数=860
  [19]: 支持计数=1005
  [22]: 支持计数=200
  [23]: 支持计数=758
  [24]: 支持计数=90
  [26]: 支持计数=143
  [27]: 支持计数=157
  [30]: 支持计数=540
  [31]: 支持计数=920
  [32]: 支持计数=15167
  [36]: 支持计数=2936
  [37]: 支持计数=1074
  [38]: 支持计数=15596
  [39]: 支持计数=50675
  [40]: 支持计数=211
  [41]: 支持计数=14945
  [42]: 支持计数=101
  [43]: 支持计数=219
  [44]: 支持计数=196
  [45]: 支持计数=911
  [47]: 支持计数=444
  [48]: 支持计数=42135
  [49]: 支持计数=1120
  [50]: 支持计数=249
  [51]: 支持计数=195
  [52]: 支持计数=501
  [53]: 支持计数=509
  [55]: 支持计数=704
  [56]: 支持计数=535
  [58]: 支持计数=165
  [59]: 支持计数=197
  [60]: 支持计数=1489
  [61]: 支持计数=141
  [62]: 支持计数=543
  [64]: 支持计数=192
  [65]: 支持计数=4472
  [66]: 支持计数=319
  [67]: 支持计数=189
  [68]: 支持计数=215
  [69]: 支持计数=246
  [70]: 支持计数=98
  [71]: 支持计数=143
  [75]: 支持计数=324
  [76]: 支持计数=869
  [77]: 支持计数=250
  [78]: 支持计数=1060
  [79]: 支持计数=1600
  [80]: 支持计数=464
  [82]: 支持计数=287
  [83]: 支持计数=198
  [84]: 支持计数=95
  [85]: 支持计数=194
  [86]: 支持计数=93
  [88]: 支持计数=155
  [89]: 支持计数=3837
  [91]: 支持计数=152
  [93]: 支持计数=97
  [94]: 支持计数=516
  [95]: 支持计数=271
  [96]: 支持计数=334
  [97]: 支持计数=89
  [98]: 支持计数=232
  [101]: 支持计数=2237
  [102]: 支持计数=155
  [103]: 支持计数=812
  [104]: 支持计数=244
  [105]: 支持计数=657
  [107]: 支持计数=765
  [108]: 支持计数=234
  [110]: 支持计数=2794
  [116]: 支持计数=266
  [117]: 支持计数=1026
  [120]: 支持计数=92
  [123]: 支持计数=1302
  [124]: 支持计数=98
  [126]: 支持计数=95
  [127]: 支持计数=200
  [128]: 支持计数=276
  [129]: 支持计数=187
  [133]: 支持计数=245
  [136]: 支持计数=467
  [141]: 支持计数=211
  [147]: 支持计数=1779
  [150]: 支持计数=597
  [151]: 支持计数=232
  [152]: 支持计数=163
  [153]: 支持计数=111
  [155]: 支持计数=546
  [156]: 支持计数=830
  [159]: 支持计数=130
  [161]: 支持计数=1010
  [163]: 支持计数=104
  [164]: 支持计数=330
  [165]: 支持计数=274
  [166]: 支持计数=300
  [167]: 支持计数=256
  [168]: 支持计数=293
  [169]: 支持计数=276
  [170]: 支持计数=3099
  [171]: 支持计数=225
  [174]: 支持计数=91
  [175]: 支持计数=970
  [176]: 支持计数=404
  [178]: 支持计数=479
  [179]: 支持计数=998
  [184]: 支持计数=182
  [185]: 支持计数=1376
  [186]: 支持计数=660
  [189]: 支持计数=259
  [192]: 支持计数=163
  [193]: 支持计数=204
  [195]: 支持计数=337
  [197]: 支持计数=191
  [198]: 支持计数=111
  [199]: 支持计数=223
  [200]: 支持计数=239
  [201]: 支持计数=1133
  [203]: 支持计数=327
  [204]: 支持计数=316
  [205]: 支持计数=262
  [206]: 支持计数=257
  [207]: 支持计数=186
  [208]: 支持计数=529
  [209]: 支持计数=611
  [211]: 支持计数=206
  [213]: 支持计数=304
